timestamp, device, port, bytesReceived, bytesSent
2022-10-20T16:04:56.561783,of:0000000000000004,2,0,556
2022-10-20T16:04:56.561790,of:0000000000000004,3,556,556
2022-10-20T16:04:56.561801,of:0000000000000001,1,556,556
2022-10-20T16:04:56.561808,of:0000000000000001,2,556,556
2022-10-20T16:04:56.561817,of:0000000000000002,1,556,556
2022-10-20T16:04:56.561824,of:0000000000000002,2,556,556
2022-10-20T16:04:56.561831,of:0000000000000002,3,556,556
2022-10-20T16:04:56.561841,of:0000000000000007,1,0,556
2022-10-20T16:04:56.561848,of:0000000000000007,2,0,556
2022-10-20T16:04:56.561855,of:0000000000000007,3,556,556
2022-10-20T16:04:56.561864,of:0000000000000005,1,556,556
2022-10-20T16:04:56.561871,of:0000000000000005,2,556,556
2022-10-20T16:04:56.561878,of:0000000000000005,3,556,556
2022-10-20T16:04:56.561887,of:0000000000000006,1,0,556
2022-10-20T16:04:56.561894,of:0000000000000006,2,0,556
2022-10-20T16:04:56.561901,of:0000000000000006,3,556,556
2022-10-20T16:04:57.562206,of:0000000000000003,1,0,556
2022-10-20T16:04:57.562264,of:0000000000000003,2,0,556
2022-10-20T16:04:57.562273,of:0000000000000003,3,556,556
2022-10-20T16:04:57.562284,of:0000000000000004,1,0,556
2022-10-20T16:04:57.562291,of:0000000000000004,2,0,556
2022-10-20T16:04:57.562296,of:0000000000000004,3,556,556
2022-10-20T16:04:57.562305,of:0000000000000001,1,556,556
2022-10-20T16:04:57.562311,of:0000000000000001,2,556,556
2022-10-20T16:04:57.562320,of:0000000000000002,1,556,556
2022-10-20T16:04:57.562326,of:0000000000000002,2,556,556
2022-10-20T16:04:57.562332,of:0000000000000002,3,556,556
2022-10-20T16:04:57.562340,of:0000000000000007,1,0,556
2022-10-20T16:04:57.562346,of:0000000000000007,2,0,556
2022-10-20T16:04:57.562352,of:0000000000000007,3,556,556
2022-10-20T16:04:57.562361,of:0000000000000005,1,556,556
2022-10-20T16:04:57.562367,of:0000000000000005,2,556,556
2022-10-20T16:04:57.562373,of:0000000000000005,3,556,556
2022-10-20T16:04:57.562829,of:0000000000000006,1,0,556
2022-10-20T16:04:57.562862,of:0000000000000006,2,0,556
2022-10-20T16:04:57.562870,of:0000000000000006,3,556,556
2022-10-20T16:04:58.563335,of:0000000000000003,1,0,278
2022-10-20T16:04:58.563658,of:0000000000000003,2,0,278
2022-10-20T16:04:58.563683,of:0000000000000003,3,278,278
2022-10-20T16:04:58.563697,of:0000000000000004,1,0,278
